calendarId,eventType,title,url,course,body,bodyText,Cost,Amount (if not free),registerlink,recurrenceRule,startDate,endDate,startTime,endTime,start,end,category,location,attendanceType,locationType,backgroundColor,color,borderColor
SAGC,workshops,,,RNAseq analysis using nf-core (Full-day),,Register here,Paid,"$50 Students, $100 Regular",https://www.eventbrite.com.au/e/sagc-bioinformatics-workshop-rnaseq-analysis-using-nf-core-full-day-tickets-1002745858857,NA,2024-10-10,2024-10-10,9:30,16:00,,,time,"Flinders University City Campus, Festival Tower (North Terrace)",inperson,local,#fc6ca1,white,#fc6ca1
SAGC,seminars,,https://www.eventbrite.com.au/e/special-seminar-announcing-the-sa-multiomics-framework-initiative-awardees-tickets-1037322317977,Special Seminar: Announcing the SA Multiomics Framework Initiative Awardees,,Register here,free  ,,https://www.eventbrite.com.au/e/special-seminar-announcing-the-sa-multiomics-framework-initiative-awardees-tickets-1037322317977,NA,2024-11-06,2024-11-06,15:30,17:00,,,time,,,local,#fdd653,black,#fdd653
SAGC,conferences,,https://pacrimmeeting.com/,PacRim Breast and Prostate Cancer Meeting Series,,Register here,Paid,Check website,https://pacrimmeeting.com/,NA,2024-08-17,2024-08-22,,,,,allday,Darwin,inperson,interstate,#79b5d1,white,#79b5d1
SAGC,conferences,,https://www.queenstownresearchweek.org/,NZ Research Week,,Register here,Paid,Check website,https://www.queenstownresearchweek.org/,NA,2024-08-31,2024-09-05,,,,,allday,"Queenstown,NZ",inperson,international,#79b5d1,white,#79b5d1
SAGC,conferences,,https://intlpagaustralia.org/24/,PAG (International Plant and Animal Genomics) Australia,,Register here,Paid,Check website,https://intlpagaustralia.org/24/,NA,2024-09-18,2024-09-20,,,,,allday,Perth,inperson,interstate,#79b5d1,white,#79b5d1
SAGC,conferences,,https://agtagenomics.org.au/conference/,AGTA (Australian Genomic Technologies Association),,Register here,Paid,Check website,https://agtagenomics.org.au/conference/,NA,2024-10-13,2024-10-16,,,,,allday,Cairns,inperson,interstate,#79b5d1,white,#79b5d1
Google,conferences,,https://www.agbt.org/,AGBT (Advances in Genome Biology and Technology) General Meeting,,Register here,Paid/Invited,Check website,https://www.agbt.org/,NA,2025-02-23,2025-02-26,,,,,allday,"Marco Island, FL, USA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.agbt.org/,AGBT (Advances in Genome Biology and Technology) General Meeting,,Register here,Paid/Invited,Check website,https://www.agbt.org/,NA,2026-02-23,2026-02-26,,,,,allday,"Marco Island, FL, USA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.agbt.org/,AGBT (Advances in Genome Biology and Technology) General Meeting,,Register here,Paid/Invited,Check website,https://www.agbt.org/,NA,2027-03-01,2027-03-04,,,,,allday,"Orlando, FL, USA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.agbt.org/events/agricultural-meeting-overview/,AGBT (Advances in Genome Biology and Technology) Agricultural Meeting,,Register here,Paid/Invited,Check website,https://www.agbt.org/events/agricultural-meeting-overview/,NA,2025-03-31,2025-04-02,,,,,allday,"Orlando, FL, USA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.agbt.org/events/agricultural-meeting-overview/,AGBT (Advances in Genome Biology and Technology) Agricultural Meeting,,Register here,Paid/Invited,Check website,https://www.agbt.org/events/agricultural-meeting-overview/,NA,2026-04-12,2026-04-15,,,,,allday,"Marco Island, FL, USA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.agbt.org/events/precision-health/,AGBT (Advances in Genome Biology and Technology) Precision Health Meeting,,Register here,Paid/Invited,Check website,https://www.agbt.org/events/precision-health/,NA,2025-03-31,2025-02-26,,,,,allday,"San Diego, CA, USA",inperson,international,#79b5d1,white,#79b5d1
SAGC,conferences,,https://www.abacbs.org/conference,ABACBS (Australian Bioinformatics and Computational Biology Society),,Register here,Paid,Check website,https://www.abacbs.org/conference,NA,2024-11-05,2024-11-06,,,,,allday,Sydney,inperson,interstate,#79b5d1,white,#79b5d1
SAGC,conferences,,https://www.immunology.org.au/,ASI (Australian and New Zealand Society for Immunology),,Register here,Paid,Check website,https://www.immunology.org.au/,NA,2024-11-25,2024-11-29,,,,,allday,Sydney,inperson,interstate,#79b5d1,white,#79b5d1
SAGC,conferences,,https://www.lornegenome.org/,Lorne Genome,,Register here,Paid,Check website,https://www.lornegenome.org/,NA,2025-02-16,2025-02-19,,,,,allday,Lorne,inperson,interstate,#79b5d1,white,#79b5d1
SAGC,conferences,,https://ednaconference.com.au/,EDNA (Environmental DNA Conference),,Register here,Paid,Check website,https://ednaconference.com.au/,NA,2025-02-18,2025-02-21,,,,,allday,"Wellington, NZ",inperson,international,#79b5d1,white,#79b5d1
SAGC,conferences,,https://www.genemappersconference.org/,Gene Mappers,,Register here,Paid,Check website,https://www.genemappersconference.org/,NA,2024-08-19,2024-08-21,,,,,allday,"Christchurch, NZ",inperson,international,#79b5d1,white,#79b5d1
SAGC,conferences,,https://www.singlecells.org.au/,Oz Single Cell Conference,,Register here,Paid,Check website,https://www.singlecells.org.au/,NA,2025-05-21,2025-05-23,,,,,allday,Sydney,inperson,interstate,#79b5d1,white,#79b5d1
SAGC,conferences,,https://sa-genomics.com.au/events?hsLang=en-au,Mucosal Immunology & MicrobiomeSymposium,,Register here,Paid,Check website,https://sa-genomics.com.au/events?hsLang=en-au,NA,2025-05-20,2025-05-23,,,,,allday,Noosa Heads,inperson,interstate,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2024-11-05,2024-11-09,,,,,allday,"Denver, CO",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2025-10-14,2025-10-18,,,,,allday,"Boston, MA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2026-10-20,2026-10-24,,,,,allday,"Montreal, Canada",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2027-10-26,2027-10-30,,,,,allday,"Nashville, TN",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2028-10-25,2028-10-29,,,,,allday,"San Diego, CA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2029-10-16,2029-10-20,,,,,allday,"Boston, MA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2030-10-22,2030-10-26,,,,,allday,"Los Angeles, CA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2031-10-21,2031-10-25,,,,,allday,"Montreal, Canada",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2032-10-12,2032-10-16,,,,,allday,"San Diego, CA",inperson,international,#79b5d1,white,#79b5d1
Google,conferences,,https://www.ashg.org/meetings/,American Society of Human Genetics,,Register here,Paid,Check website,https://www.ashg.org/meetings/,NA,2033-11-01,2033-11-05,,,,,allday,"Washington, DC",inperson,international,#79b5d1,white,#79b5d1
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-10-24,2024-10-24,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-10-31,2024-10-31,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-11-07,2024-11-07,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-11-14,2024-11-14,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-11-21,2024-11-21,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-11-28,2024-11-28,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-12-05,2024-12-05,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-12-12,2024-12-12,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Adelaide Cancer Seminar Series,,No registeration required,free,,,Every week,2024-12-19,2024-12-19,12:00,13:00,,,time,"University of South Australia (UniSA), Bradley Building, Room HB8-18",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-11-01,2024-11-01,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-11-08,2024-11-08,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-11-15,2024-11-15,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-11-22,2024-11-22,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-11-29,2024-11-29,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-12-06,2024-12-06,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-12-13,2024-12-13,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-12-20,2024-12-20,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
CCB,seminars,,,Bioinformatics Meetings (Adelaide Community),,No registeration required,free,Please email kapillman@gmail.com,,Every week,2024-10-25,2024-10-25,13:00,14:30,,,time,"CCB Level 9, HB9-24, Bradley Building, Bradley Lawson, cnr North Terrace &, Morphett St, Adelaide SA 5000, Australia",both,local,#fdd653,black,#fdd653
